pubkey,totalproposalscreated,communitypropcreatorpassed,depositedvotes,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesfor,totalcouncilvotesagainst,rewards,alltimerewards
7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d,0,0,36903,0,43309,null,null,0,0,0,0,0,0,0,0,0,0,0,2609,13765
J7H8PcofiRvWYwGhhSy9iFbSAaYUu34ovTXXbL2K37tM,0,0,450,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,54505.8125
2RR8BSkEUH9aJuqFJsmRQ7wfBk798oujYSucfhaDtSvx,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2155
3s4rRVTgANQmssEHR1h2WDsmVVWsx92EgUNzZ9ZHz5zs,0,0,172030,0,0,1685481673,1685481673,172030,172030,0,1,1,0,0,0,0,0,0,0,42256
ABcLyuh9ufZaDy5REzpsZK7bQFbX5kjAmaV8uHgrM22x,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,13475
939AAWDfv2wTpR4qiSU59tyXYV12TrYr8jaxfaQWmydb,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,7764
4AigoHLLzSMuzueRicxeQhK5NqaG1TT9EvpCeAvqn6oY,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,535
BX1Jwuksm2hSwwvQNeRjKK9Sd4qWphQ9ckRTuGsWTaNG,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1000
52BqCVDfQZ1sxTqymRcuasoKLzAEqYtSNjbb2uVy53fj,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,55
HHYHaJNDkJq7rdfCMgMizA7rPJ1AW9Qd9X2nEiXYBJz6,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
3CPrbJewAwqDsU3Pirm8MowDiZKVzRof95G1ZbimaX5t,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,110
9qrKtzr1zX1cgU5NJtSm7ega3RS5v3MpGKUcutYvV444,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,225
29gfXNCjUcepv3dPLhwsZRSHM7WNJ3rGc9GCRY3RQuwA,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,32999
GyrzWsvsPYmnJ2ZSpxu6tJvFZR3q2jixuCgBJsdtm9kA,0,0,0,0,6807,null,null,0,0,0,0,0,0,0,0,0,0,0,0,840
Bgke4TAWbLRebZEHPTYQAbX5juzzMszN941E1cWf1aqV,0,0,325,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1900
6G8EPXXQJJ2TffR3idAYEFjRJGLpQUoEgMQTdTty38V4,0,0,76786,0,0,1684576822,1687289398,762871,762871,0,10,10,0,0,0,0,0,0,4989,14269
44rSzUMYCpBoTk9jwpPPJqd5KjWepJcdficsUHNgLxgF,0,0,62874,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,43788.000001
3rTbQb6nMwRzrJEdLEEdUK92VpCidsSrowAAZn6pePei,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,55
63teVPvKS7F2PXBiaq5YW43ktGNP4RmuEgYnpPLgesZH,0,0,0,0,2297,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2270
Gq7fPzML38eX6tSedGqCMhmbw7WsaSEYoEZM3BucjZh8,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
DmLoxafqPoEcenVtwHVzejZePHzvDroSDSC6FsGCn5ok,0,0,28940,0,27025,1686504517,1686504517,28940,28940,0,1,1,0,0,0,0,0,0,0,4375
8TNsp6Yk6ELrdaYhbbjng1MznVMdV1kvgHiNfK9asekD,0,0,35000,0,4472,1684576822,1684576822,35000,35000,0,1,1,0,0,0,0,0,0,2609,36000
DvubPpEGskB7U4UpswauprWPugKfhMEWnVywrqefgsZg,0,0,0,0,101,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
EoBCPxSn2N7b8dM1Kq43yYceY83eHxAXXANZE5Ga3cKz,0,0,30262,0,1875,null,null,0,0,0,0,0,0,0,0,0,0,0,0,9500
CinHb6Xt2PnqKUkmhRo9hwUkixCcsH1uviuQqaTxwT9i,0,0,1581129,1,0,1684576822,1684576822,1581129,0,1581129,1,0,1,0,0,0,0,0,0,272098.0141469999
FubSx8FudbtjgnuNk8j9WwAPnPK4XzeN7FNfoBarQFDG,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
