pubkey,Total Rewards,Proposal Created & passed,Bonus,"Total Rewards P1, P2",P3 Calls Active,P3 Calls Participating,P3 Calls Raffle,Total Calls Rewards,totalproposalscreated,communitypropcreatorpassed,depositedvotes,alltimerewards,DNQ,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalcouncilvotes,CommunityVotes,Voting Reward,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotesfor,totalcouncilvotesagainst,rewards
3MFxDHLMkv863rxcupKQ4srPZnT5yDwFAaTENhJBxaKM,,,,,,,,,0,0,0,11325,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3MsmkPefAd1zbtJtsrrR61pFLmXYGxr3d2BK8wt6QYzK,,,,,,,,,0,0,0,55,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3nH5zTa2d16Z2TQmkohQvyvPJizQuuMHKaaaNDxiwXnM,,,,,,,,,0,0,0,1885,,0,7419,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3nryBDu2hqmpyAjssubxVda3Si1QAfA9yEAFAdV4TQop,,,,,,,,,0,0,46,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3pcxfQKjaAcHCYzTngRMgQi5G81cKc7yR2rFYL4dgqQP,,,,,,,,,0,0,0,4050,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3PPjZVCpJw4YA7Z918aux6uNwbMuK9EXtjv9nwwSR1bF,,,,,,,,,0,0,117,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3Q1GEKDqv33Y8fHwc8WE6AjYwujoosrjLM1tpHLwLsjD,,,,,,,,,0,0,0,2005,,0,29797,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3rTbQb6nMwRzrJEdLEEdUK92VpCidsSrowAAZn6pePei,,,,,,,,,0,0,0,55,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3s4rRVTgANQmssEHR1h2WDsmVVWsx92EgUNzZ9ZHz5zs,,,,,,,,,0,0,172030,49063,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,3533
3s6VUe21HFVEC6j12bPXLcrBHMkTZ66847853pXWXspr,,,,,,,,,0,0,17205,2570,,0,4365,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3sB4AiJ2cX3Kaznj34cdTSSMyhyfcD38YNiQnxP5YiNt,,,,,,,,,0,0,0,115,,0,115,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3U1kmVZknXX1Y6x6Yk4Mii3a5EL6iUbbw5x32M1z3P5q,,,,,,,,,0,0,8807,45,,0,5810,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3UeCX2xEDz9E8gYWvCq1k1sGv4DWJygU6qBLXt1EXbxj,,,,,,,,,0,0,10,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3UFmscW19Jmds66SbYr39CpYrfcGjoFnbGHPmZXk8Z1w,,,,,,,,,0,0,17512,680,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3VeqFy27atzbwhXWu9aa5hc3e5N1yC6sCgRQrivRGjEa,,,,,,,,,0,0,0,10360,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3vuCFLbVWsNeWgyxkb2xiLQuxKDW83HWiTMmodT8gmtk,,,,,,,,,0,0,7733,465,,0,465,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3VzmuftUuPouumLoqdQHZqjNxamrQn2fdGRA4HAb1MBJ,,,,,,,,,0,0,0,0,,0,11051,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3WWaoAnxma1NVfovPTDZMAUGB1oHpZyPQENJYwQdWX5T,,,,,,,,,0,0,0,835,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3ZJHTMc1QvSDawG9ZWHEVWPn7dzw3s3cUbUqFX6KH6Z2,,,,,,,,,0,0,0,0,,0,1,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
44rSzUMYCpBoTk9jwpPPJqd5KjWepJcdficsUHNgLxgF,,,,,,,,,0,0,62874,44838.000001,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
46uY7ukjXNMKAKx2bQYSFF2CFNYo8KWpLkebL5F6NtrN,,,,,,,,,0,0,318,4405,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
48V9nmW9awiR9BmihdGhUL3ZpYJ8MCgGeUoSWbtqjicv,,,,,,,,,0,0,2451,95,,0,2987,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
48vHv57HUz9kMuCfAugobB5reQfFaWKMAzngYmmWeTgE,,,,,,,,,0,0,0,14380,,0,101154,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
4AeGMYZvZJmzoDTgcQe9aSzsFkh3ZzuNazBeUvjHccaH,,,,,,,,,0,0,5100,2370,,0,2370,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
