pubkey,Totalrewards,proposalcreation,voting,callparticipation,raffle,totalproposalparticipation,communitypropcreatorpassed,depositedvotes,alltimerewards,baseline,elgible,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesagainst,rewards
8NLRhKiZ6imTuT7yG2GKAGYZCKsJX1R7SwPh6tPFRuTR,0,,,,,0,0,0,0,0,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
AzdqxbTury9ygNmPuWFBhZbG4u8okaB74q3FrodowAF6,0,,,,,0,0,0,1610,1127,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
wUPaQBrjwSDzqPbUHXSLoakMxgX3QuCVpuarkjTxttU,0,,,,,0,0,0,5979,4185.3,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
Cq6PxbiSUTpgoWpG2hSJYG6oF6pkGCGx2Ni35AVBTqkC,0,,,,,0,0,0,465,325.5,FALSE,0,3129,null,null,0,0,0,0,0,0,0,0
99NHcwD1iaf5FXM3UNb91SjNiiT3HwyQFQMhkGd5ASts,0,,,,,0,0,0,0,0,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
9ZeNiDFPTwFkG3ptwBZjMGL2N4djQgxAsU5YB6z2hhHy,0,,,,,0,0,0,103222.500001,72255.750001,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
DnkfFnFB8auoDWrmj3fHmYn3oH6XVvAkoHnUH5aAr6KP,0,,,,,0,0,0,55,38.5,FALSE,0,1112,null,null,0,0,0,0,0,0,0,0
7KrTkLQx6gSbYctgxFM4z4aNeNEXPmSVMhKWzRD7otVv,0,,,,,0,0,0,1750,1225,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
FubSx8FudbtjgnuNk8j9WwAPnPK4XzeN7FNfoBarQFDG,0,,,,,0,0,0,0,0,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
3s4rRVTgANQmssEHR1h2WDsmVVWsx92EgUNzZ9ZHz5zs,0,,,,,0,0,172030,49063,34344.1,TRUE,0,0,null,null,0,0,0,0,0,0,0,0
ihvogWuVwPqMtNp3i1DMQ1PiaBruahZxvbVC7S94bVQ,0,,,,,0,0,0,0,0,FALSE,0,4,null,null,0,0,0,0,0,0,0,0
8jhxB5SUMBkLWtyiaJfEds78vsLstVnhysf7gofLLg43,0,,,,,0,0,0,225,157.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
CLvY3mAD19MN4USSuPJRaVBeDwF4BxMoxwx5XQ51Y6d1,0,,,,,0,0,0,8255,5778.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
Krw1qTDKuu7AKdCZBz4FRhBj6136yKD2YkrnUUuG9XU,0,,,,,0,0,0,20548.1875,14383.7313,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
6xKDBhQwYpkHet8bPrucPoDHjn135DZwynDyKVQz2A6m,0,,,,,0,0,0,270,189,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
5xZsowohCtUqCPNwiuPbLYjMGsUqPmMQESwLxXJnryHW,0,,,,,0,0,0,110,77,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
2sVE4nQXwqxgJ33Pbz8D7QLShYjKpAT2bbJbMgA7EeaC,0,,,,,0,0,314,52054.000001,36437.800001,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
EZLvwGdGyeks3jQLWeBbjL1uGeGbqb2MYU4157pDP9ch,0,,,,,0,0,330817,232859,163001.3,TRUE,0,0,null,null,0,0,0,0,0,0,0,0
DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA,0,,,,,0,0,10,49350,34545,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
J1ekBJffrhumo67tx7UtBBQAuNWgoN13FCxDQCKjjjvG,0,,,,,0,0,0,60,42,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
3JkznmhmZ3fU6nnpuX8JHnUKdy4BmhKMUhBoprJN43Px,0,,,,,0,0,41,0,0,TRUE,0,0,null,null,0,0,0,0,0,0,0,0
88r3rNk7CYuue3GQYAt9HY8gPTg3sE57BFvmasBich4i,0,,,,,0,0,0,225,157.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
5cShNqx2E54RJK49myPhE757RJAEgnGKcbRqPVW4nwjC,0,,,,,0,0,22138,6980,4886,TRUE,0,0,null,null,0,0,0,0,0,0,0,0
JBXbypS6S8k1fAhwPssXa1SDtUq8KSBCjVhbDZqxsemB,0,,,,,0,0,0,4230,2961,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
2RR8BSkEUH9aJuqFJsmRQ7wfBk798oujYSucfhaDtSvx,0,,,,,0,0,0,2155,1508.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
8UeKyzmVEFCyyQ4nTpeQH128W2n5AQriMynYQGyCWcbm,0,,,,,0,0,1106,260,182,TRUE,0,3105,null,null,0,0,0,0,0,0,0,0
DswUZNJb4HHCYodkwtb3UHkKtLQu95uEapDnQF9sMuEr,0,,,,,0,0,0,9275,6492.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
9unmKCnBV4uEUtGZk4asvtdxWYqkkKdiwNZCdLgDmFfH,0,,,,,0,0,0,0,0,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
9WW4oiMyW6A9oP4R8jvxJLMZ3RUss18qsM4yBBHJPj94,0,,,,,0,0,231126,38236.11,26765.28,TRUE,0,0,null,null,0,0,0,0,0,0,0,0
5RykoH1ZLoeAcbJx99dmC4gtqz7GxjJCXzfoAfxsDy7u,0,,,,,0,0,0,9355,6548.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
7pPJt2xoEoPy8x8Hf2D6U6oLfNa5uKmHHRwkENVoaxmA,0,,,,,0,0,0,323790.570007,226653.399005,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
